,reviews
0,아 이거 왜 안됨 내가 하다하다 못해 카카오 스토리도 지우고 다 정리하고 그랬는데 용량이 많은데 카카오 페이지가 다운이 안됨 이거 왜이래 
1,새방식이 좋다는 사람은 대부분 알바임 더 불편하고 비싸짐 이전처럼 이용권 사는방식이 더 좋습니다 이제 대여권 미리 사놓고 못봄 무조건 3일안에 다 봐야됨 게다가 너만무 소장 대여권 할인도 없어짐 추가 \) 이어보기가 자동으로 다음편으로 넘어가는 것도 너무 불편함 
2,이거 진짜 혁명앱인데 내가 진짜 일반 모바일 결제앱 쓰다가 빡쳐서 후 우연히 토스 발견하고 시험삼아 해봤다 \? 근데 뭐지 이거 \? 너무 편한거야 뭐야 돈 보내진건가 \? 진짜 \? 이게 끝 \? 헐 이랬다니까 진짜 하 진짜 말이 필요없죠 제발 쓰세요 제발 내가 이것만큼 은혜롭고 편리한앱을 보질 못했어 내가 이런앱은 널리널리 퍼트림이 마땅하다 
3,저 이벤트 게임 그거 레벨 10레벨 다 됐눈데 캐시 왜 안오나요 \? 10레벨이 넘어야 하나요 \? 
4,"엠티비도 이걸로 걷음 대학생 필수앱 더치페이 핵쉬움 , , "
5,닉네임을 쓰고 확인을 누르니 오류가 생겼데요 이런 장애같은 경우가
6,문화상품권을 구매하면 등록해둔 계좌에서 돈이빠져나가는건가요 \? 
7,내 폰으로 다운 안 돼서 가족 폰으로 봤는데 짱 재미있어요 ! ! ! 
8,업데이트후 버전확인표시만나고 안들어가져요 삭제재설치 재부팅다해봤어요 점심먹으러갔나요 해결안해요 \? 누구놀리는건가요 점검끝나고 다시 버전확인무한반복이네요 점검을머했다는건지 
9,"혜택 이벤트 버그투성이입니다 앱 받고 켜기 , 게임 사전예약 등등 해봐도 포인트 적립문구커녕 하나 안 뜹니다 그 밖에도 행운퀴즈 알람도 설정해놔도 알람 안 뜨구요 앱 지웠다 깔아도 마찬가지입니다 이러고 방치 해둘거면 혜택 이벤트 뭐하러 만들어놨는지 이해가 안 가네요 그냥 지우세요 없는 것만 못하는 이벤트니까"
10,무료캐시 하나 똑바로 못 주네요 앱 깔라해서 깔고 다시 들어갔더니 이미 설치가 되어있다네 \? 
11,제가 원래 650캐시가 있었는데 다음날 와보니 350캐시가 있었어요 뭐죠 \? \? \? 전 쓴적 없는데 답변바랍니다 
12,아니 사천성 2시간동안 다운 받았는데 로그인도 하고 근데 왜 캐시 안주냐고요 이따구로 관리하지마세요 이런 적이 한 두 번도 아니고 
13,제가 폰밑쪽 부분이 안먹어서 처음 동의할때 동의버튼을 못눌러서 사용하지 못하고있는데 자동회전기능좀 만들어주시면 감사하겠습니다
14,공짜 쿠키 준다고 이벤트 해놓고 막상 참여해서 쿠키 받았더니 쿠키제한을 걸어서 더이상 못받게함 이유를 물으니 주문취소를 반복하고 공짜쿠키 받는 악용 유저란다 2달동안 취소 3번한게 악용유저 \? 쿠팡에 물어보니 굉장히 정상범주에 포함된다며 이해가 안된다고 계속 따지고 했더니 쿠키제한 풀어주겠다더니 몇일이 지나도록 안풀어줌 또 메일 보냈더니 맨처음 보냈던 메일 붙여넣기 해서 보냄 나더러 악용유저 아 미치겠네 뭐하는 사람 들이지 \? 
15,"빛반사는 니네 개발 환경에서만 그런 거지 모든 사람이 그런 게 아니잖아 다른 운전면허증 등록 앱들이 어떻게 되어 있는지 한 번도 안 보고 기획했나 \? 다른 앱들에서 면허증 사진을 찍게 하는 이유는 그 자체가 인증을 위한 게 아님 그냥 입력 편의를 위해 사진 인식을 쓴 것일 뿐 원래 대부분의 인증에서 최종적인 정보는 유저가 입력한 것을 그대로 사용하는 게 아니고 , 인증만 되면 그 후로는 인증사에서 가져오는 것이기 때문에 , 근본적으로 사진은 필요가 없음 면허 인증이 아니고 기획자 지능 수준 인증인 것 "
16,회원가입하고 쿠키받았는데 갑자기 다 사라짐 그 앱 삭제한것도 아닌데 왜이런거죠 \? 
17,그저 잘 사용할뿐이고 써봐야 아는데 편리하네요 간단하고 
18,완전 짱 좋구여 만화두 무료 짱짱 ! 카카오 페이지 짱 
19,"신한은행에만 계좌있는데 하필이면 신한은행만 지원이 안되는게 너무 아쉽지만 , 상담도 칼답이고 친절하셔서 별5개 드립니당 이거 하려고 다른 은행에도 계좌 개설각 "
20,너무 화나요 토스 공인인증갱신 오류 투성이에 너무 불편해요 pc에서 공인인증서 전송하고 핸드폰에서 푸시열람해서 어플자동으로 들어가지만 비빌번호 입력하는창이 안떠요
21,"진짜 좋아요 ! ! 처음에 뭔가 불안해서 광고 무시했는데 , 친구들 쓰는거 보고 설치했더니 신세계가 열렸어요 굿 ! ! ! "
22,pass로 인해 결제시 많이 편리해졌어여 앱 깔지 않고도 바로 결제 할 수 있어 정말 좋네요 
23,정말 좋아요 ! 근데 컬쳐 문상이나 깊카로 쿠키를 구매할 수 있었으면 좋겠어요 그리고 무료 쿠키도 더 얻을 수 있게 해주셨으면 좋겠습니다 일단 대만족 ! ! 
24,"이거 황제의 외동딸 , 그 여름 나는등 너무 재밌어요 원래 웹툰을 안 보는데 이거에 계속 푹 빠졌어요 넘 재밌어요 찿기도 편하고 장르도 많고 돈안써도 볼수있는게 되게 많고 앱 자체가 좋은거 같애요 짱 ! ! 더 많은 작품 기대할게용 "
25,역시 다른 통신사 보단 kt가 제일 좋네요 가지가지 이벤트도 많고 본인인증 하는 것도 훨씬 편리해요 ! 번창하세여 
26,간단명료 디자인만 좀 업글하면 좋을듯요 덕분에 대출도 비대면으로 저렴하게 받았네요 온라인의 장점 극대화한 어플입니다 
27,앱 구동도 제대로 안되는 마당에 보안에 문제나 없을련지 
28,토스4 32 4 안드로이드에 언제나와요 \? 안나와서 토스 송금이안되자나요 하 짜증나네
29,다운로드 대기 30분 경과중 안돼 짜증 나 v50인데 왜 설치가 안돼냐구 
30,조금 오래 사용 했지만 다른 어플보다 쓰고 들어오는 혜택폭이 쫌 좁네요 참고하세요
31,토스덕분에 돈을 이리 많이 모으네요 덕분에 잘 쓰고 있습니다
32,요즘 인증할 일도 많아져서 고민이었는데 이 앱을 만나고 부터서는 시간도 단축되고 편해서 너무 좋네요
33, 캐쉬를 줘놓고 가져가네 \? 해리포터 살려고했는데 \? 
34,엄청유용하게잘쓰고있어요 ! ! 아주편리하고 빠르게이체할수있어서 좋아요
35,결제 시스템 매번 해는거 번거로웠는데 보안기능도 만족이고 편리함도 얻었네요 좋아요 
36,카톡패밀리에 김도훈만제발 어떻게좀 해봐요 뭐저런 상노답을 놔둬요 좀 퇴출이나 정지 먹일수없음 \? 제발 쟤때문에 페이지 자체를 끊게생겼어
37,달빛조각사 41권볼려고 앱설치하고 무료이용권 5장주는걸로 5편보고 나머지 20편도 보고 다른책들도 보려고 3만원결제해서 3만캐시구입 2만2천 캐쉬로 이용권 250개구매해서 나머지 20편보고 다른책볼려했더니 이용권0개 오류인줄알고 한참해메다 구입내역보니 전용이용권 이라네 2만2천원 으로 20권도아니고 20편보고 나머지 230개 이용권은 언제 사용하란건지 자세한 설명도 안내도없고 고객센타니 문의사항남길곳도없고 돈벌이에만 신경쓰나보네요
38,저 카카오페이지에 후르츠바스켓 이라는 만화도 좀 올려주세요
39,"간편하게 개인인증하려고 깔았는데 , 연속인증할때 광고계속떠서 그거 끄다가 시간이 더 뎌짐 인증진행되는 시간도 그렇고 , 차라리 문자인증이 바로바로되고 좋은듯"
40,인기있는 웹툰을 기무로 말없이 바꾸고 이번 공지사항에 왕의딸로 태어났다고 합니다외15편 뭐라고 하는데 15편은뭔지도 안알려줌 \? \? \? 정보좀 제대로 알려주시죠 업데이트 할때 말도안했으면서
41,리뷰 하기도 아까울 정도 오전부터 캐시 결재 오류가 나더니 이제는 로그인 조차 되지 않아 이용도 못하고있음 계정연결한다고 로딩만 하고 정작 로그인은 안됨 문의했으나 답은 없고 여러 작품 대여권사놓은 것도 있고 소장권 결재해가면 본것도있는데 다 소용없게 됬음 지우고 다시 깔아보기도 하고 폰을 껐다켜보기도하고 별짓을 해도 로그인은 안되고 시간이 지날 수록 화만 나고 이용하라고 만든 앱은 맞나요 요즘 잦은 오류와 느려진 속도가 이 어플을 계속 써야할지 많은 생각이 들어요 로그인도 안되니 지워야 되나 싶고요 
42,은행을 우리은행만써서 1년전 서부터 은행추가문의 많이 넣었는데 1년이 지난 후에도 우리은행이 없네 \? 그럴거면 은행 추가 문의를 넣지마라 인터넷뱅킹도 우리로 되있어서 좀 하려고 했더만 사용자 문의가 개뿔로 보이지 \? 
43,러브앤위시라는 기무를보는데 3일이 지나서 무료로볼수있다고 떠서 들어가서 보려는데 안되네요 계속 막 캐쉬로 대여권사고그런거만 나오는데 어떡하죠 ! \? 
44,좋은 기능도 많고 참 고마운 어플인 것 같습니다 토스 개발팀 고생하시고 앞으로도 좋은 서비스 잘 부탁드립니다 ! 
45,본인 명의의 휴대폰이 아닐때 농협 카드는 언제쯤 되나요 \? 
46,와 진짜 제가 너무 좋아하는 웹툰들이 많아서 너무 좋아요 진짜 감사합니다 앞으로도 많은 신작 기대할게요 ! ! 
47,폰뱅킹 하루에도 몇번씩 하는데 맨날 보안카드에 이것저것 시간도 많이걸리고 귀찮고 짜증났는데 토스는 정말 1분도 안걸려요 계좌번호 복사하는순간 송금하기가 뜨는데 그거딱누르고 비밀번호만 눌러주면 걍 끝 평생쓸거에요 토스 사랑해요 만들어 주셔서 감사해요 이걸 왜 이제야 알았을까 다른앱들도 다써봤는데 토스가 제일 간단하고 편리합니다 저는 핸드폰도 노트1 고물덩어리 쓰는데 한번도 오류난적없고 그냥다너무좋아요 아래분들 리뷰가 왜이러지 \? 별점테러하지마세요 이런혁명을 능욕하다니 이건 전국민이 써야합니다 제 인생어플이에요 지금도 점검시간 끝날때까지 기다리는중이에요 사랑해요토스
48,재미있는것두 만구 다른 웹툰에 있는것도 있어요 되게 좋아요
49,참 좋은 어플인데 수수료정책때문에 날이가면 갈수록 매력을 못 느끼겠네요 
50,말이필요없습니다 지인들한테도 다추천하고있어요 너무좋고편리해용 이제 신한은행만 지원된다먼 더할나위없겠네욤 
51,"좋아요 ! 좋은데 , 이체 할때도 지문 인식으로 편하게 할 수 있으면 정말 좋을거 같아요 ! ! 보안성도 더 뛰어나구요 ! "
52,최악 지문인증 완료하고 오류나서 하루동안 인증 못하게 됨 광고땜에 인증에 방해됨 
53,제발 뭐라뭐라고 답변만하지말고 찾아가서 설득을해주시던지 아니면 제 다른 계좌로 이체를 해주시던지 아니 추가되면 알려준다메요 무슨 반년동안 추가되면 알려드리겠습니다 이러고 있습니까 장난하는것도아니고
54,지금 전원껐다켜도 카카오페이지가안들어가지네요 어제부터그래요
55,박보검 배우님이 광고를 잘하시니 카카오를 자꾸 들어와서 보게 되었습니다 그리고 좋아요
56,업데이트 된 이후로 계좌잔액 조회하려고 들어가면 한번도 빠짐없이 오류로 조회가 안되네여 그래서 항상 은행앱을 따로 들어가서 로그인해서 확인합니다 
57, 간편 최고 안전 좋은 인증앱 복잡한 패스워드로 매번 비번 찾느랴 짜증났는데 kt인증앱 덕분에 더 이상 비번 찾는 번거로운 일은 없을 것 같아요 
58,잘 보고 있습니다 특히 좋은 점은 좋은 작품이 많이 올라온다는 점입니다 
59,공인 인증서 로그인 안하고 계좌이체 할 수 있는게 정말 좋아요 ! 
60,송수금이 이렇게 편리한 앱이 있는 줄 몰랐음 이제 안것을 후회
61,사람 놀려먹는것도 적당히하세요 앱설치를 수십개를 했는데 캐시는 한번도 안주네요
62,제가 진짜 웬만해서 댓글 안다는데요 너무 화나서 달아요 계좌 연결이 안되서 잔액조회를 할 수가 없어요 이거때문에 우리은행 창구까지 갔다왔는데도 또 계속 비밀번호가 틀리다고 하네요 은행까지 찾아가서 확인하고 온건데도 틀리다고 하면 어쩌라는건가요 이거때문에 제가 소비한 시간만해도 아휴 별 하나도 아까울 정도에요
63,3일기다려서 하나보는것도 감사하구먼 웹툰기다린다고 생각하지 뭔말이그렇게많음
